id,name,display_desc,category,location,img,name_short,category_corrected
4794,Kids' Carved Turkey Sandwich - Gluten/Wheat Allergy-friendly,"served on an Allergy-friendly Bun with Carrots, Apple Slices and choice of Beverage",Entree,Columbia Harbor House,sandwich_turkey_sandwich.png,Kids Turkey Sandwich,Kids
4796,Allergy-friendly Brownie - Gluten/Wheat Allergy-friendly,,Entree,Columbia Harbor House,dessert_brownies.jpeg,Brownie,Dessert
4797,1/3 lb Angus Bacon Cheeseburger - Egg Allergy-friendly,served with your choice of Steak Fries or Apple Slices,Entree,Columbia Harbor House,burger_angus_bacon_cheeseburger.jpeg,1/3 lb Angus Bacon Cheeseburger,
4799,BBQ Ribs Platter - Egg Allergy-friendly,served with Steak Fries and Apple Slices,Entree,Columbia Harbor House,Ribs.png,BBQ Ribs Platter,
4801,Shrimp Teriyaki Bowl - Egg Allergy-friendly,Stir-fried Shrimp and Vegetables tossed in a House-made Teriyaki Sauce,Entree,Columbia Harbor House,asian_shrimp-terriyaki_bowl.jpg,Shrimp Teriyaki Bowl,
4804,Kids' Carved Turkey Sandwich - Egg Allergy-friendly,"served with Carrots, Apple Slices and choice of small lowfat Milk or small Dasani® Water. Meets Disney Nutrition Guidelines for Complete Meals without substitutions",Entree,Columbia Harbor House,sandwich_turkey_sandwich.png,Kids Turkey Sandwich,Kids
4811,Mediterranean Salad with Chicken - Fish/Shellfish Allergy-friendly,tossed in a Mediterranean Vinaigrette and served with Hummus and Flatbread,Entree,Columbia Harbor House,salad_garden_salad_with_chicken.png,Chicken Mediterranean Salad,
4813,Kids' Smucker's® Uncrustables® Sandwich - Fish/Shellfish Allergy-friendly,"served with Carrots, Apple Slices and choice of small lowfat Milk or small Dasani® Water",Entree,Columbia Harbor House,Smuckers_Uncrustables.jpg,Smuckers Uncrustables,Kids
4814,Kids' Mac & Cheese - Fish/Shellfish Allergy-friendly,"served with Carrots, Apple Slices and choice of Beverage",Entree,Columbia Harbor House,mac-n-cheese.png,Kids Mac & Cheese,Kids
4816,Allergy-friendly Brownie - Fish/Shellfish Allergy-friendly,,Entree,Columbia Harbor House,dessert_brownies.jpeg,Brownie,Dessert
4821,Kids' Carved Turkey Sandwich - Soy Allergy-friendly,"served on an Allergy-friendly Bun with Carrots, Apple Slices and choice of small lowfat Milk or small Dasani® Water",Entree,Columbia Harbor House,sandwich_turkey_sandwich.png,Kids Turkey Sandwich,Kids
4822,1/3 lb Angus Bacon Cheeseburger - Soy Allergy-friendly,served on an Allergy-friendly Bun with Apple Slices,Entree,Columbia Harbor House,burger_angus_bacon_cheeseburger.jpeg,1/3 lb Angus Bacon Cheeseburger,
4823,Kids' Carved Turkey Sandwich - Milk Allergy-friendly,"served with Carrots, Apple Slices and a small Dasani® Water",Entree,Columbia Harbor House,sandwich_turkey_sandwich.png,Kids Turkey Sandwich,Kids
4824,Kids' Smucker's® Uncrustables® Sandwich - Milk Allergy-friendly,"served with Carrots, Apple Slices and a small Dasani® Water",Entree,Columbia Harbor House,Smuckers_Uncrustables.jpg,Smuckers Uncrustables,Kids
4825,Kids' Mac & Cheese - Peanut/Tree Nut Allergy-friendly,served with choice of sides and Beverage,Entree,Columbia Harbor House,mac-n-cheese.png,Kids Mac & Cheese,Kids
4827,1/3 lb fresh Angus Bacon Burger,"served with fresh Steamed Broccoli, Apple Slices or French Fries",Entree,Columbia Harbor House,burger_bacon_only.png,1/3 lb Angus Bacon Burger,
4829,Braised Beef and Enchilada Platter - Peanut/Tree Nut Allergy-friendly,served with a Roasted Corn and Cheese Enchilada,Entree,Columbia Harbor House,mex_beef_enchiladas.jpeg,Braised Beef and Enchilada Platter,
4830,Shrimp Teriyaki Bowl - Peanut/Tree Nut Allergy-friendly,Stir-fried Shrimp and Vegetables tossed in a House-made Teriyaki Sauce,Entree,Columbia Harbor House,asian_shrimp-terriyaki_bowl.jpg,Shrimp Teriyaki Bowl,
4834,1/3 lb Angus Bacon Burger - Milk Allergy-friendly,served with your choice of Steak Fries or Apple Slices,Entree,Columbia Harbor House,burger_bacon_only.png,1/3 lb Angus Bacon Burger,
4835,Vegan Burger - Milk Allergy-friendly,served with your choice of Steak Fries or Apple Slices,Entree,Columbia Harbor House,burger_vegan.png,Vegan Burger,
4836,BBQ Ribs Platter - Milk Allergy-friendly,served with Coleslaw and choice of Steak Fries or Apple Slices,Entree,Columbia Harbor House,Ribs.png,BBQ Ribs Platter,
4837,Vegan Burger - Peanut/Tree Nut Allergy-friendly,served with Steak Fries,Entree,Columbia Harbor House,burger_vegan.png,Vegan Burger,
